Gene	Mean.Coverage	SD.Coverage	Length
CRTAM	55.952519305	17.2484352764	2072
CRTAP	58.1112931996	33.0412492809	1794
CPEB4	76.4051833661	18.7684183938	3054
CPEB1	37.4943378713	34.1084886894	1616
CPEB3	44.3678008158	29.5955947083	2942
CPEB2	29.3347418936	35.445995835	3855
VMP1	58.3908840948	24.9526742682	2364
AL603650.3	0.862	0.00836660026534	5
AC002465.2	37.1619387755	27.5889459714	196
CPNE1,RBM12,RP1-309K20.6	11.4253521127	10.7295732145	142
CHMP3	92.8857777778	0.625119948086	45
CHMP7	53.9171351559	34.1221137674	2597
CHMP6	36.7304745763	26.8351935766	1475
CHMP5	51.4683580981	20.3441147682	1346
ENO4,KIAA1598	24.107192623	17.1811044347	488
NICN1	42.1769836957	14.9313945347	1104
DNAJC9;MRPS16	4.91857142857	0.42558531124	21
SAP30	52.8322570533	29.1509956325	957
PDE11A	60.5030753647	22.5884363173	4936
ZCCHC24	31.1635144312	30.166069849	1178
CTD-2006C1.2	10.6042875817	13.3785225827	1530
NUTM2D	9.32926806381	23.9391827867	3197
AC007563.5	82.9488235294	13.6343180656	119
AC007563.1	2.23046979866	0.413889487095	149
TP73-AS1	50.1349498747	27.2976248949	798
AATK-AS1	6.23914332784	2.03212012652	1214
GPR144	6.42889518414	3.48543095005	5295
GPR146	43.593000932	23.8891342107	1073
GPR141	85.6538043478	10.3152676434	920
GPR142	46.5935425764	22.9169939581	1832
GPR143	28.6486401166	21.0470481645	2059
GPR148	68.8260249042	17.8479223582	1044
GPR149	72.2732458234	21.321538534	2514
SYN3,TIMP3	47.9435057471	19.0816816964	522
MIR5188	0.142654867257	0.0190870982564	113
CTD-2210P24.4	3.46871179039	1.72199259927	458
IGIP	83.1692592593	6.0522967824	162
EFCAB11	36.9903930131	29.1145461787	916
EFCAB10	4.22963607595	1.22873326878	632
EFCAB13	60.8474059543	18.6015498592	4333
EFCAB12	38.5440597256	21.0068313875	2478
EFCAB14	62.0785451909	26.0991807022	2069
DPY19L2P1	49.8525389105	23.5500104229	1028
DPY19L2P2	25.0767039435	17.4847489799	3398
EFCC1	24.0877429591	31.1238893246	2521
NPLOC4	34.6200377264	26.0525759771	3976
MYB-AS1	46.238	32.4927400811	80
ENTPD1,RP11-248J23.7	67.1258381503	9.84009116859	173
TRBV25-1	65.7938522954	25.6318231059	501
LHX1	39.6107886435	23.8259252293	1268
LHX2	47.8555634218	30.2789146385	1695
LHX3	22.9613976471	18.884413091	2125
LHX4	69.9322733424	22.7908843945	1478
LHX5	27.8284509681	22.3428576389	1601
LHX6	32.1512541254	25.7696744262	2121
LHX8	57.2416244493	27.9842489336	1816
LHX9	58.6909641473	33.826110882	2064
SREK1	51.7160557276	27.8415406606	3230
RP11-50B3.2	4.83930348259	1.9622718302	402
MIR503;MIR503HG	14.1175757576	4.32400114475	99
RP11-417J8.6	1.59848484848	0.0640370370569	99
STRAP	51.1007104882	22.7701123911	2069
STRA8	53.1318946248	29.3857740539	1879
STRA6	45.1053582555	27.2555220024	4173
CYP26C1,RP11-348J12.2	10.4664705882	1.51396277831	51
RASL11B	63.452728146	28.1944501026	1041
RASL11A	58.910922473	26.3440233999	1019
FZD4,PRSS23	83.3697142857	0.994704779492	70
RP11-240L7.4	52.2772277228	8.93185178761	202
RAN	61.579328594	32.7329863616	1266
RAX	27.5155052546	27.7755138026	1237
TAAR5	74.484260355	13.2521527315	1014
TAAR6	79.6489122807	21.3202463358	1140
TAAR1	70.5232709447	19.8698837219	1122
TAAR3	3.35992813142	1.47792585937	974
TAAR2	61.351362862	16.9821064603	1174
TAAR9	53.1818062827	25.1622619584	1146
TAAR8	82.53311229	21.5992562033	1131
RP11-423H2.1	32.4830434783	25.1153553503	851
RP11-464O2.2	88.8683673469	3.34932228651	49
CWH43	65.0398571429	24.5896783572	3570
RRN3P2	32.0222998643	21.7113483889	2948
RRN3P1	27.0684128289	24.2768178204	1216
ELOVL2-AS1	8.48795918367	0.27571860347	49
ZNF337	86.5263105242	12.4167401463	2499
ZNF334	71.8275269231	27.5796748172	2600
ZNF335	56.6793465201	24.8812609413	6825
ZNF333	48.7914358843	31.6278528345	3907
ZNF330	62.8875422833	25.1125265005	1892
ZNF331	73.7644949495	15.5673252897	1584
ZNF33B	84.7108529189	12.6512189886	2638
ZNF33A	68.1968717318	24.7187299729	3251
MAK,RP11-637O19.3,SYCP2L	49.0160284168	30.035065041	1478
EIF1B	59.9868396226	19.4267680879	636
AIMP2,PMS2	17.9456666667	2.39546076963	30
AC011718.2,AC011718.3	0.00121212121212	0.00328874608565	66
LIN7A	34.8951382913	22.0889155085	1627
LIN7C	69.7590162272	19.8343466274	986
LIN7B	29.5205273566	32.5128709462	1517
NFATC1	55.8095771878	27.4956898644	4068
NFATC2	58.9124037251	27.5726973647	3973
NFATC3	68.7329018431	30.0809312504	4666
NFATC4	50.8921331354	28.3611193912	4041
FGF18	58.6604035433	25.3454134974	1016
NRIP1	71.8968674062	26.0926549074	3786
NRIP2	68.424336989	17.266374566	1003
NRIP3	67.7012987013	32.0402581313	1232
VWA8	56.6166136475	24.9874467771	10185
VWA9	54.9749607143	21.9535644257	2800
VWA7	46.3430490149	28.2990339027	4162
VWA2	58.9657568807	27.2562758785	3488
VWA1	23.5153361599	22.7914223138	1651
ALOXE3	49.646238667	27.5811018375	4081
CCDC181	63.0333660299	22.2430189955	1937
CCDC180	58.4304611287	29.2617224027	6007
AC006372.1	4.65571138211	1.68120329023	492
SNAPC3	60.2668575773	29.5004677423	1973
SNAPC2	60.2978735632	30.5144204128	1392
SNAPC1	56.6642361534	17.3471876381	1643
SNAPC5	57.5178308322	30.9910218986	733
SNAPC4	49.0941489362	27.3451144587	6486
RP11-768F21.1	53.5408993082	27.0241735382	1301
NOL9,TAS1R1	9.35888888889	0.961633958053	18
RP11-562A8.5	41.9085772358	19.3774521189	246
RP11-562A8.4	57.1889830508	10.7541291922	118
AF015720.3	50.2639393939	17.3638533658	99
RABGEF1	27.0566666667	29.6526976247	42
AL591025.1	8.99242424242	3.55716397866	66
MIR4419B	0.18502994012	0.0185911707084	167
MIR4419A	0.359220779221	0.0335122221917	77
AC136604.1	7.81596601073	4.29543572241	1118
ZBTB8A	71.4906933116	15.7751141685	1226
ZBTB8B	11.8201190476	1.60234503906	84
RP11-498D10.6;IST1,PKD1L3	9.0318	0.932419915038	50
CTB-189B5.3	91.9465942029	4.48228312788	138
RP11-348M17.2	31.7475900277	30.666038472	361
CCDC169,CCDC169-SOHLH2,SOHLH2	8.21521416804	3.14032862715	1214
PCNXL4	54.0156962596	27.1043657587	4438
PCNXL3	30.4485110854	18.7870676316	9517
CTB-99A3.1	36.9144611529	33.7737022395	399
ZNF28,ZNF468	25.2701449275	34.9326985476	759
SNORD32A	71.7591666667	9.91614798515	84
SNORD32B	47.8966666667	3.16892719992	84
OR6W1P	7.91205100956	3.64858202442	941
PALM	31.9444933267	25.6929564878	2023
RP1-161P9.5	0.162475247525	0.018243132439	101
RP11-501J20.2	1.23707070707	0.0685454195503	99
RP11-501J20.5	17.6709183673	9.50362970125	98
TGFA	33.2990924658	26.2505045292	1168
PLAU	62.3726866883	19.6660468004	1232
PLAT	58.6550935551	25.4130096442	2886
PLAA	63.0829027816	21.2967960355	3631
DENND4A	36.9372700427	23.0937438923	9143
DENND4B	37.4400383632	22.1823299136	7038
DENND4C	55.1659794951	29.9250980758	9071
IGFBP2	21.7263810152	19.1330926354	1517
IGFBP3	38.665645499	38.2604837718	1433
IGFBP1	43.4294123134	28.2750263247	1072
IGFBP6	40.8437713311	35.4313330956	1172
